brand,model,engine_size,fuel_type,year,mileage_km,price_usd,age,price_per_1k_km,mileage_bucket_label,mileage_bucket_order,age_bucket_label,age_bucket_order,overprice_threshold,is_overpriced
Ford,Fiesta,1.0,Petrol,2002,127300,3074,23,24.147682639434407,>100k,4,10y+,4,24653.0,False
Porsche,718 Cayman,4.0,Petrol,2016,57850,49704,9,859.1875540190147,50-100k,3,6-10y,3,73239.75,False
Ford,Mondeo,1.6,Diesel,2014,39190,24072,11,614.2383261035978,20-50k,2,10y+,4,43916.0,False
Toyota,RAV4,1.8,Hybrid,1988,210814,1705,37,8.087698160463727,>100k,4,10y+,4,66286.875,False
VW,Polo,1.0,Petrol,2006,127869,4101,19,32.07188607090069,>100k,4,10y+,4,26969.875,False
Ford,Focus,1.4,Petrol,2018,33603,29204,7,869.0890694283248,20-50k,2,6-10y,3,40657.0,False
Ford,Mondeo,1.8,Diesel,2010,86686,14350,15,165.5399949242092,50-100k,3,10y+,4,43916.0,False
Toyota,Prius,1.4,Hybrid,2015,30663,30297,10,988.063790235789,20-50k,2,6-10y,3,49265.75,False
VW,Polo,1.2,Petrol,2012,73470,9977,13,135.79692391452295,50-100k,3,10y+,4,26969.875,False
Ford,Focus,2.0,Diesel,1992,262514,1049,33,3.9959773573980817,>100k,4,10y+,4,40657.0,False
VW,Golf,2.0,Diesel,2014,83047,17173,11,206.78651847748867,50-100k,3,10y+,4,35342.375,False
BMW,Z4,2.0,Petrol,1990,293666,719,35,2.448359701157097,>100k,4,10y+,4,53698.375,False
VW,Golf,1.2,Diesel,2007,92697,7792,18,84.0588152798904,50-100k,3,10y+,4,35342.375,False
Toyota,RAV4,2.2,Petrol,2007,79393,16026,18,201.8565868527452,50-100k,3,10y+,4,66286.875,False
Toyota,Yaris,1.4,Petrol,1998,97286,4046,27,41.58871780112246,50-100k,3,10y+,4,31920.5,False
VW,Golf,1.6,Diesel,1989,222390,933,36,4.195332523944423,>100k,4,10y+,4,35342.375,False
Toyota,RAV4,2.4,Hybrid,2003,117425,11667,22,99.35703640621674,>100k,4,10y+,4,66286.875,False
Toyota,Yaris,1.2,Petrol,1992,245990,720,33,2.926948249928859,>100k,4,10y+,4,31920.5,False
Toyota,RAV4,2.0,Hybrid,2018,28381,52671,7,1855.8542687008915,20-50k,2,6-10y,3,66286.875,False
VW,Polo,1.2,Petrol,1998,155038,2118,27,13.661166939718004,>100k,4,10y+,4,26969.875,False
VW,Golf,1.2,Hybrid,1987,121744,1890,38,15.524379024839007,>100k,4,10y+,4,35342.375,False
Ford,Mondeo,1.6,Diesel,1996,77584,5667,29,73.04341101257991,50-100k,3,10y+,4,43916.0,False
Toyota,Prius,1.0,Hybrid,2003,115291,6512,22,56.48316000381643,>100k,4,10y+,4,49265.75,False
Toyota,Prius,1.0,Hybrid,1990,238571,961,35,4.02815094877416,>100k,4,10y+,4,49265.75,False
Porsche,911,2.6,Petrol,2009,66273,41963,16,633.1839512320252,50-100k,3,10y+,4,123087.75,False
Toyota,Prius,1.8,Hybrid,2017,31958,38961,8,1219.131359909882,20-50k,2,6-10y,3,49265.75,False
Porsche,911,3.5,Petrol,2005,151556,19747,20,130.2950724484679,>100k,4,10y+,4,123087.75,False
Toyota,Yaris,1.2,Petrol,2002,179097,2548,23,14.226927307548422,>100k,4,10y+,4,31920.5,False
VW,Golf,2.0,Petrol,2020,18985,36387,5,1916.6183829338952,<20k,1,3-5y,2,35342.375,True
Toyota,RAV4,1.8,Hybrid,2002,66990,13553,23,202.31377817584715,50-100k,3,10y+,4,66286.875,False
Ford,Focus,1.0,Hybrid,2010,85131,12472,15,146.5036238268081,50-100k,3,10y+,4,40657.0,False
Ford,Fiesta,1.0,Petrol,2001,144731,2503,24,17.294152600341324,>100k,4,10y+,4,24653.0,False
VW,Polo,2.0,Diesel,2008,97001,8784,17,90.55576746631478,50-100k,3,10y+,4,26969.875,False
VW,Polo,1.6,Petrol,2016,52409,17257,9,329.27550611536185,50-100k,3,6-10y,3,26969.875,False
Ford,Fiesta,1.4,Petrol,2010,112714,6936,15,61.5362776584985,>100k,4,10y+,4,24653.0,False
VW,Passat,2.0,Diesel,1992,198540,1964,33,9.892213156039086,>100k,4,10y+,4,43699.5,False
VW,Passat,1.8,Diesel,1989,213162,1340,36,6.2862986836302905,>100k,4,10y+,4,43699.5,False
BMW,Z4,2.2,Petrol,2005,133174,8511,20,63.90887110096565,>100k,4,10y+,4,53698.375,False
VW,Polo,1.6,Petrol,2008,129588,5848,17,45.12763527487113,>100k,4,10y+,4,26969.875,False
BMW,Z4,2.0,Petrol,1990,148586,2637,35,17.747297861171308,>100k,4,10y+,4,53698.375,False
Ford,Focus,2.0,Petrol,1995,91173,5181,30,56.82603402323056,50-100k,3,10y+,4,40657.0,False
BMW,M5,4.0,Petrol,2017,22759,97758,8,4295.355683465881,20-50k,2,6-10y,3,134836.0,False
VW,Polo,1.4,Petrol,1990,261526,522,35,1.995977455396404,>100k,4,10y+,4,26969.875,False
VW,Passat,1.4,Diesel,1995,235594,1439,30,6.107965398100122,>100k,4,10y+,4,43699.5,False
BMW,Z4,2.0,Petrol,1995,42759,7873,30,184.12497953647184,20-50k,2,10y+,4,53698.375,False
VW,Passat,1.8,Diesel,2005,103352,9633,20,93.20574347859741,>100k,4,10y+,4,43699.5,False
VW,Passat,1.6,Petrol,2003,63372,10001,22,157.81417660796566,50-100k,3,10y+,4,43699.5,False
Toyota,Yaris,1.0,Petrol,2009,51787,9689,16,187.09328595979687,50-100k,3,10y+,4,31920.5,False
Ford,Fiesta,1.4,Petrol,2014,41495,14721,11,354.7656344137848,20-50k,2,10y+,4,24653.0,False
Toyota,Yaris,1.4,Petrol,2010,43111,12928,15,299.8770615388184,20-50k,2,10y+,4,31920.5,False
Ford,Fiesta,1.0,Diesel,2017,38370,16257,8,423.6903831118061,20-50k,2,6-10y,3,24653.0,False
Toyota,RAV4,2.4,Petrol,2018,24588,49125,7,1997.9258174719375,20-50k,2,6-10y,3,66286.875,False
VW,Polo,1.0,Diesel,2000,207339,1480,25,7.138068573688501,>100k,4,10y+,4,26969.875,False
Ford,Fiesta,1.0,Petrol,1990,182958,873,35,4.771586921588561,>100k,4,10y+,4,24653.0,False
VW,Passat,1.6,Diesel,1994,114647,4008,31,34.959484330161274,>100k,4,10y+,4,43699.5,False
VW,Polo,1.0,Petrol,1995,162993,1482,30,9.092415011687619,>100k,4,10y+,4,26969.875,False
VW,Golf,1.2,Petrol,2002,139884,3713,23,26.543421692259304,>100k,4,10y+,4,35342.375,False
Porsche,Cayenne,2.6,Diesel,2015,33693,54037,10,1603.8049446472562,20-50k,2,6-10y,3,104718.5,False
BMW,Z4,2.2,Petrol,2004,126777,8373,21,66.04510281833456,>100k,4,10y+,4,53698.375,False
Ford,Fiesta,1.2,Petrol,2010,51553,9813,15,190.34779741237173,50-100k,3,10y+,4,24653.0,False
Toyota,Yaris,1.0,Petrol,2010,75821,8851,15,116.73546906529853,50-100k,3,10y+,4,31920.5,False
VW,Polo,1.4,Diesel,2010,45193,11881,15,262.89469608125154,20-50k,2,10y+,4,26969.875,False
VW,Polo,1.6,Petrol,1997,87723,3840,28,43.774152730754764,50-100k,3,10y+,4,26969.875,False
Ford,Focus,1.8,Petrol,1993,279656,863,32,3.085934147667134,>100k,4,10y+,4,40657.0,False
VW,Golf,2.0,Hybrid,2018,25017,36957,7,1477.2754526921694,20-50k,2,6-10y,3,35342.375,True
Ford,Fiesta,1.2,Petrol,1996,111771,2543,29,22.751876604843833,>100k,4,10y+,4,24653.0,False
Toyota,Prius,1.4,Hybrid,2016,43893,29946,9,682.250017087007,20-50k,2,6-10y,3,49265.75,False
Toyota,Yaris,1.0,Petrol,2007,118788,5306,18,44.66781156345759,>100k,4,10y+,4,31920.5,False
Toyota,Prius,1.4,Hybrid,2016,43130,30085,9,697.5423139346162,20-50k,2,6-10y,3,49265.75,False
VW,Passat,1.6,Diesel,1991,247911,1052,34,4.243458337871252,>100k,4,10y+,4,43699.5,False
Ford,Focus,2.0,Petrol,1991,272161,854,34,3.137848552878627,>100k,4,10y+,4,40657.0,False
VW,Passat,1.6,Diesel,1994,179361,2371,31,13.219150205451577,>100k,4,10y+,4,43699.5,False
Ford,Fiesta,1.0,Petrol,2009,66424,7616,16,114.65735276406117,50-100k,3,10y+,4,24653.0,False
Ford,Mondeo,1.8,Diesel,1999,104544,6058,26,57.9468931741659,>100k,4,10y+,4,43916.0,False
Toyota,Yaris,1.0,Hybrid,1999,80589,4937,26,61.261462482472794,50-100k,3,10y+,4,31920.5,False
Ford,Mondeo,1.4,Diesel,2000,128137,4771,25,37.233585927561904,>100k,4,10y+,4,43916.0,False
Porsche,718 Cayman,2.0,Petrol,1992,169078,3074,33,18.180957901087073,>100k,4,10y+,4,73239.75,False
VW,Passat,1.6,Petrol,2016,64344,23641,9,367.4157652617183,50-100k,3,6-10y,3,43699.5,False
VW,Passat,1.6,Diesel,1993,176456,2274,32,12.887065330734009,>100k,4,10y+,4,43699.5,False
Ford,Focus,1.4,Petrol,1985,179526,1105,40,6.155097311809988,>100k,4,10y+,4,40657.0,False
Toyota,RAV4,1.8,Hybrid,1999,162425,5396,26,33.22148684008003,>100k,4,10y+,4,66286.875,False
Porsche,718 Cayman,2.4,Petrol,2021,14070,69526,4,4941.4356787491115,<20k,1,3-5y,2,73239.75,False
BMW,Z4,2.4,Petrol,1993,226492,1799,32,7.942885399925825,>100k,4,10y+,4,53698.375,False
Ford,Fiesta,1.2,Petrol,1995,183332,1330,30,7.2545982152597475,>100k,4,10y+,4,24653.0,False
VW,Golf,2.0,Petrol,1990,118673,2543,35,21.428631617975444,>100k,4,10y+,4,35342.375,False
Toyota,Prius,1.0,Hybrid,1993,333629,478,32,1.4327291692268957,>100k,4,10y+,4,49265.75,False
VW,Passat,1.8,Diesel,1991,155034,2526,34,16.29320020124618,>100k,4,10y+,4,43699.5,False
Toyota,Yaris,1.2,Petrol,1990,200892,947,35,4.713975668518408,>100k,4,10y+,4,31920.5,False
Ford,Focus,1.8,Petrol,2020,22371,40336,5,1803.048589692012,20-50k,2,3-5y,2,40657.0,False
Ford,Mondeo,1.6,Diesel,2015,21834,28435,10,1302.3266465146103,20-50k,2,6-10y,3,43916.0,False
Ford,Focus,1.0,Petrol,1985,223615,633,40,2.8307582228383605,>100k,4,10y+,4,40657.0,False
Ford,Mondeo,1.6,Diesel,2007,100798,10008,18,99.28768427944999,>100k,4,10y+,4,43916.0,False
BMW,Z4,2.4,Petrol,1997,103758,6532,28,62.954181846219086,>100k,4,10y+,4,53698.375,False
Ford,Fiesta,1.2,Petrol,1997,156919,1901,28,12.114530426525786,>100k,4,10y+,4,24653.0,False
Toyota,Yaris,1.0,Petrol,2008,42621,9591,17,225.02991483071725,20-50k,2,10y+,4,31920.5,False
